target	seqlen	depth	len_cov	prop_cov	fold_cov
1__dfrA32__NG_047729.1__1	674	0.0	0.0	0.0	0.0
2__aac6__NG_052380.1__1	752	0.0	0.0	0.0	0.0
2__aac6__NG_052221.1__2	755	2988.0	323.0	0.4278145695364238	3.9576158940397352
2__aac6__NG_052259.1__3	755	3113.0	458.0	0.6066225165562914	4.12317880794702
2__aac6__NG_052163.1__4	764	0.0	0.0	0.0	0.0
2__aac6__NG_052169.1__5	758	0.0	0.0	0.0	0.0
2__aac6__NG_052168.1__6	752	0.0	0.0	0.0	0.0
2__aac6__NG_052291.1__7	749	38.0	19.0	0.025367156208277702	0.050734312416555405
2__aac6__NG_052285.1__8	727	0.0	0.0	0.0	0.0
2__aac6__NG_052371.1__9	749	0.0	0.0	0.0	0.0
2__aac6__NG_052275.1__10	749	0.0	0.0	0.0	0.0
2__aac6__NG_052260.1__11	749	0.0	0.0	0.0	0.0
2__aac6__NG_052261.1__12	749	0.0	0.0	0.0	0.0
2__aac6__NG_052159.1__13	749	40.0	20.0	0.0267022696929239	0.0534045393858478
2__aac6__NG_052160.1__14	749	0.0	0.0	0.0	0.0
2__aac6__NG_052161.1__15	749	0.0	0.0	0.0	0.0
2__aac6__NG_052465.1__16	749	0.0	0.0	0.0	0.0
2__aac6__NG_052290.1__17	749	0.0	0.0	0.0	0.0
2__aac6__NG_052140.1__18	679	0.0	0.0	0.0	0.0
2__aac6__NG_052447.1__19	749	0.0	0.0	0.0	0.0
2__aac6__NG_052207.1__20	749	0.0	0.0	0.0	0.0
2__aac6__NG_052337.1__21	749	0.0	0.0	0.0	0.0
2__aac6__NG_052281.1__22	749	40.0	20.0	0.0267022696929239	0.0534045393858478
2__aac6__NG_052188.1__23	752	81.0	41.0	0.05452127659574468	0.1077127659574468
2__aac6__NG_052162.1__24	743	0.0	0.0	0.0	0.0
2__aac6__NG_052504.1__25	743	0.0	0.0	0.0	0.0
2__aac6__NG_052177.1__26	743	0.0	0.0	0.0	0.0
2__aac6__NG_052446.1__27	743	0.0	0.0	0.0	0.0
2__aac6__NG_052165.1__28	764	0.0	0.0	0.0	0.0
2__aac6__NG_052164.1__29	743	0.0	0.0	0.0	0.0
2__aac6__NG_052254.1__30	755	6522.0	556.0	0.7364238410596027	8.63841059602649
2__aac6__NG_052429.1__31	674	239.0	143.0	0.21216617210682492	0.3545994065281899
2__aac6__NG_052423.1__32	755	1639.0	546.0	0.7231788079470198	2.170860927152318
