target	seqlen	depth	len_cov	prop_cov	fold_cov
1__dfrA32__NG_047729.1__1	674	106.0	106.0	0.1572700296735905	0.1572700296735905
2__aac6__NG_052380.1__1	752	0.0	0.0	0.0	0.0
2__aac6__NG_052221.1__2	755	1662.0	321.0	0.4251655629139073	2.201324503311258
2__aac6__NG_052259.1__3	755	2064.0	391.0	0.5178807947019868	2.733774834437086
2__aac6__NG_052163.1__4	764	44.0	22.0	0.028795811518324606	0.05759162303664921
2__aac6__NG_052169.1__5	758	0.0	0.0	0.0	0.0
2__aac6__NG_052168.1__6	752	0.0	0.0	0.0	0.0
2__aac6__NG_052291.1__7	749	0.0	0.0	0.0	0.0
2__aac6__NG_052285.1__8	727	0.0	0.0	0.0	0.0
2__aac6__NG_052371.1__9	749	0.0	0.0	0.0	0.0
2__aac6__NG_052275.1__10	749	0.0	0.0	0.0	0.0
2__aac6__NG_052260.1__11	749	0.0	0.0	0.0	0.0
2__aac6__NG_052261.1__12	749	0.0	0.0	0.0	0.0
2__aac6__NG_052159.1__13	749	0.0	0.0	0.0	0.0
2__aac6__NG_052160.1__14	749	0.0	0.0	0.0	0.0
2__aac6__NG_052161.1__15	749	0.0	0.0	0.0	0.0
2__aac6__NG_052465.1__16	749	0.0	0.0	0.0	0.0
2__aac6__NG_052290.1__17	749	0.0	0.0	0.0	0.0
2__aac6__NG_052140.1__18	679	0.0	0.0	0.0	0.0
2__aac6__NG_052447.1__19	749	0.0	0.0	0.0	0.0
2__aac6__NG_052207.1__20	749	0.0	0.0	0.0	0.0
2__aac6__NG_052337.1__21	749	0.0	0.0	0.0	0.0
2__aac6__NG_052281.1__22	749	0.0	0.0	0.0	0.0
2__aac6__NG_052188.1__23	752	121.0	41.0	0.05452127659574468	0.16090425531914893
2__aac6__NG_052162.1__24	743	0.0	0.0	0.0	0.0
2__aac6__NG_052504.1__25	743	38.0	19.0	0.02557200538358008	0.05114401076716016
2__aac6__NG_052177.1__26	743	0.0	0.0	0.0	0.0
2__aac6__NG_052446.1__27	743	0.0	0.0	0.0	0.0
2__aac6__NG_052165.1__28	764	0.0	0.0	0.0	0.0
2__aac6__NG_052164.1__29	743	0.0	0.0	0.0	0.0
2__aac6__NG_052254.1__30	755	6602.0	586.0	0.776158940397351	8.744370860927152
2__aac6__NG_052429.1__31	674	113.0	94.0	0.1394658753709199	0.16765578635014836
2__aac6__NG_052423.1__32	755	698.0	351.0	0.4649006622516556	0.9245033112582781
