target	seqlen	depth	len_cov	prop_cov	fold_cov
1__dfrA32__NG_047729.1__1	674	0.0	0.0	0.0	0.0
2__aac6__NG_052380.1__1	752	0.0	0.0	0.0	0.0
2__aac6__NG_052221.1__2	755	1044.0	246.0	0.3258278145695364	1.3827814569536423
2__aac6__NG_052259.1__3	755	2458.0	381.0	0.5046357615894039	3.255629139072848
2__aac6__NG_052163.1__4	764	40.0	20.0	0.02617801047120419	0.05235602094240838
2__aac6__NG_052169.1__5	758	0.0	0.0	0.0	0.0
2__aac6__NG_052168.1__6	752	0.0	0.0	0.0	0.0
2__aac6__NG_052291.1__7	749	0.0	0.0	0.0	0.0
2__aac6__NG_052285.1__8	727	0.0	0.0	0.0	0.0
2__aac6__NG_052371.1__9	749	0.0	0.0	0.0	0.0
2__aac6__NG_052275.1__10	749	0.0	0.0	0.0	0.0
2__aac6__NG_052260.1__11	749	0.0	0.0	0.0	0.0
2__aac6__NG_052261.1__12	749	0.0	0.0	0.0	0.0
2__aac6__NG_052159.1__13	749	0.0	0.0	0.0	0.0
2__aac6__NG_052160.1__14	749	0.0	0.0	0.0	0.0
2__aac6__NG_052161.1__15	749	0.0	0.0	0.0	0.0
2__aac6__NG_052465.1__16	749	0.0	0.0	0.0	0.0
2__aac6__NG_052290.1__17	749	0.0	0.0	0.0	0.0
2__aac6__NG_052140.1__18	679	0.0	0.0	0.0	0.0
2__aac6__NG_052447.1__19	749	0.0	0.0	0.0	0.0
2__aac6__NG_052207.1__20	749	0.0	0.0	0.0	0.0
2__aac6__NG_052337.1__21	749	0.0	0.0	0.0	0.0
2__aac6__NG_052281.1__22	749	0.0	0.0	0.0	0.0
2__aac6__NG_052188.1__23	752	40.0	20.0	0.026595744680851064	0.05319148936170213
2__aac6__NG_052162.1__24	743	0.0	0.0	0.0	0.0
2__aac6__NG_052504.1__25	743	0.0	0.0	0.0	0.0
2__aac6__NG_052177.1__26	743	0.0	0.0	0.0	0.0
2__aac6__NG_052446.1__27	743	0.0	0.0	0.0	0.0
2__aac6__NG_052165.1__28	764	0.0	0.0	0.0	0.0
2__aac6__NG_052164.1__29	743	0.0	0.0	0.0	0.0
2__aac6__NG_052254.1__30	755	4421.0	640.0	0.847682119205298	5.855629139072848
2__aac6__NG_052429.1__31	674	78.0	39.0	0.057863501483679525	0.11572700296735905
2__aac6__NG_052423.1__32	755	1102.0	342.0	0.45298013245033114	1.4596026490066225
2__aac6__NG_052294.1__33	803	0.0	0.0	0.0	0.0
