target	seqlen	depth	len_cov	prop_cov	fold_cov
1__dfrA32__NG_047729.1__1	674	0.0	0.0	0.0	0.0
2__aac6__NG_052380.1__1	752	0.0	0.0	0.0	0.0
2__aac6__NG_052221.1__2	755	910.0	158.0	0.20927152317880796	1.205298013245033
2__aac6__NG_052259.1__3	755	1784.0	459.0	0.6079470198675496	2.362913907284768
2__aac6__NG_052163.1__4	764	0.0	0.0	0.0	0.0
2__aac6__NG_052169.1__5	758	0.0	0.0	0.0	0.0
2__aac6__NG_052168.1__6	752	0.0	0.0	0.0	0.0
2__aac6__NG_052291.1__7	749	0.0	0.0	0.0	0.0
2__aac6__NG_052285.1__8	727	40.0	20.0	0.027510316368638238	0.055020632737276476
2__aac6__NG_052371.1__9	749	0.0	0.0	0.0	0.0
2__aac6__NG_052275.1__10	749	0.0	0.0	0.0	0.0
2__aac6__NG_052260.1__11	749	0.0	0.0	0.0	0.0
2__aac6__NG_052261.1__12	749	0.0	0.0	0.0	0.0
2__aac6__NG_052159.1__13	749	0.0	0.0	0.0	0.0
2__aac6__NG_052160.1__14	749	0.0	0.0	0.0	0.0
2__aac6__NG_052161.1__15	749	0.0	0.0	0.0	0.0
2__aac6__NG_052465.1__16	749	0.0	0.0	0.0	0.0
2__aac6__NG_052290.1__17	749	0.0	0.0	0.0	0.0
2__aac6__NG_052140.1__18	679	0.0	0.0	0.0	0.0
2__aac6__NG_052447.1__19	749	0.0	0.0	0.0	0.0
2__aac6__NG_052207.1__20	749	40.0	20.0	0.0267022696929239	0.0534045393858478
2__aac6__NG_052337.1__21	749	40.0	20.0	0.0267022696929239	0.0534045393858478
2__aac6__NG_052281.1__22	749	0.0	0.0	0.0	0.0
2__aac6__NG_052188.1__23	752	0.0	0.0	0.0	0.0
2__aac6__NG_052162.1__24	743	0.0	0.0	0.0	0.0
2__aac6__NG_052504.1__25	743	38.0	19.0	0.02557200538358008	0.05114401076716016
2__aac6__NG_052177.1__26	743	0.0	0.0	0.0	0.0
2__aac6__NG_052446.1__27	743	0.0	0.0	0.0	0.0
2__aac6__NG_052165.1__28	764	0.0	0.0	0.0	0.0
2__aac6__NG_052164.1__29	743	0.0	0.0	0.0	0.0
2__aac6__NG_052254.1__30	755	3410.0	369.0	0.48874172185430464	4.516556291390729
2__aac6__NG_052429.1__31	674	42.0	21.0	0.03115727002967359	0.06231454005934718
2__aac6__NG_052423.1__32	755	901.0	495.0	0.6556291390728477	1.1933774834437085
