target	seqlen	depth	len_cov	prop_cov	fold_cov
1__dfrA32__NG_047729.1__1	674	54.0	54.0	0.08011869436201781	0.08011869436201781
2__aac6__NG_052380.1__1	752	0.0	0.0	0.0	0.0
2__aac6__NG_052221.1__2	755	1034.0	146.0	0.19337748344370861	1.3695364238410597
2__aac6__NG_052259.1__3	755	1446.0	359.0	0.47549668874172185	1.9152317880794703
2__aac6__NG_052163.1__4	764	0.0	0.0	0.0	0.0
2__aac6__NG_052169.1__5	758	0.0	0.0	0.0	0.0
2__aac6__NG_052168.1__6	752	0.0	0.0	0.0	0.0
2__aac6__NG_052291.1__7	749	0.0	0.0	0.0	0.0
2__aac6__NG_052285.1__8	727	0.0	0.0	0.0	0.0
2__aac6__NG_052371.1__9	749	0.0	0.0	0.0	0.0
2__aac6__NG_052275.1__10	749	0.0	0.0	0.0	0.0
2__aac6__NG_052260.1__11	749	0.0	0.0	0.0	0.0
2__aac6__NG_052261.1__12	749	0.0	0.0	0.0	0.0
2__aac6__NG_052159.1__13	749	0.0	0.0	0.0	0.0
2__aac6__NG_052160.1__14	749	0.0	0.0	0.0	0.0
2__aac6__NG_052161.1__15	749	0.0	0.0	0.0	0.0
2__aac6__NG_052465.1__16	749	0.0	0.0	0.0	0.0
2__aac6__NG_052290.1__17	749	0.0	0.0	0.0	0.0
2__aac6__NG_052140.1__18	679	0.0	0.0	0.0	0.0
2__aac6__NG_052447.1__19	749	0.0	0.0	0.0	0.0
2__aac6__NG_052207.1__20	749	0.0	0.0	0.0	0.0
2__aac6__NG_052337.1__21	749	0.0	0.0	0.0	0.0
2__aac6__NG_052281.1__22	749	0.0	0.0	0.0	0.0
2__aac6__NG_052188.1__23	752	0.0	0.0	0.0	0.0
2__aac6__NG_052162.1__24	743	0.0	0.0	0.0	0.0
2__aac6__NG_052504.1__25	743	0.0	0.0	0.0	0.0
2__aac6__NG_052177.1__26	743	0.0	0.0	0.0	0.0
2__aac6__NG_052446.1__27	743	38.0	19.0	0.02557200538358008	0.05114401076716016
2__aac6__NG_052165.1__28	764	0.0	0.0	0.0	0.0
2__aac6__NG_052164.1__29	743	0.0	0.0	0.0	0.0
2__aac6__NG_052254.1__30	755	3230.0	541.0	0.7165562913907285	4.2781456953642385
2__aac6__NG_052429.1__31	674	80.0	40.0	0.05934718100890208	0.11869436201780416
2__aac6__NG_052423.1__32	755	202.0	130.0	0.17218543046357615	0.2675496688741722
2__aac6__NG_052294.1__33	803	0.0	0.0	0.0	0.0
2__aac6__NG_052187.1__34	641	0.0	0.0	0.0	0.0
2__aac6__NG_052190.1__35	641	0.0	0.0	0.0	0.0
2__aac6__NG_052191.1__36	641	0.0	0.0	0.0	0.0
2__aac6__NG_052192.1__37	641	0.0	0.0	0.0	0.0
2__aac6__NG_052193.1__38	641	165.0	75.0	0.11700468018720749	0.2574102964118565
2__aac6__NG_052194.1__39	641	0.0	0.0	0.0	0.0
2__aac6__NG_052195.1__40	641	40.0	20.0	0.031201248049921998	0.062402496099843996
2__aac6__NG_052209.1__41	641	0.0	0.0	0.0	0.0
2__aac6__NG_052212.1__42	641	0.0	0.0	0.0	0.0
2__aac6__NG_052345.1__43	641	0.0	0.0	0.0	0.0
2__aac6__NG_052419.1__44	641	0.0	0.0	0.0	0.0
2__aac6__NG_052420.1__45	641	0.0	0.0	0.0	0.0
2__aac6__NG_052427.1__46	641	0.0	0.0	0.0	0.0
2__aac6__NG_052467.1__47	641	0.0	0.0	0.0	0.0
2__aac6__NG_052471.1__48	641	0.0	0.0	0.0	0.0
2__aac6__NG_052472.1__49	641	0.0	0.0	0.0	0.0
2__aac6__NG_052451.1__50	641	0.0	0.0	0.0	0.0
2__aac6__NG_052450.1__51	641	0.0	0.0	0.0	0.0
2__aac6__NG_052178.1__52	641	0.0	0.0	0.0	0.0
2__aac6__NG_052297.1__53	641	0.0	0.0	0.0	0.0
2__aac6__NG_052292.1__54	641	38.0	19.0	0.029641185647425898	0.059282371294851796
2__aac6__NG_052449.1__55	641	0.0	0.0	0.0	0.0
2__aac6__NG_052196.1__56	641	38.0	19.0	0.029641185647425898	0.059282371294851796
2__aac6__NG_052346.1__57	641	0.0	0.0	0.0	0.0
2__aac6__NG_052448.1__58	641	0.0	0.0	0.0	0.0
2__aac6__NG_052389.1__59	641	0.0	0.0	0.0	0.0
2__aac6__NG_052284.1__60	641	0.0	0.0	0.0	0.0
2__aac6__NG_052263.1__61	641	38.0	19.0	0.029641185647425898	0.059282371294851796
2__aac6__NG_052347.1__62	641	38.0	19.0	0.029641185647425898	0.059282371294851796
2__aac6__NG_052336.1__63	641	42.0	21.0	0.0327613104524181	0.0655226209048362
2__aac6__NG_052415.1__64	641	0.0	0.0	0.0	0.0
2__aac6__NG_052468.1__65	641	0.0	0.0	0.0	0.0
2__aac6__NG_052466.1__66	641	0.0	0.0	0.0	0.0
2__aac6__NG_052175.1__67	755	46.0	46.0	0.060927152317880796	0.060927152317880796
2__aac6__NG_052189.1__68	668	1124.0	517.0	0.7739520958083832	1.6826347305389222
2__aac6__NG_052204.1__69	668	127.0	66.0	0.09880239520958084	0.19011976047904192
2__aac6__NG_052138.1__70	683	38.0	19.0	0.027818448023426062	0.055636896046852125
2__aac6__NG_052341.1__71	674	78.0	58.0	0.08605341246290801	0.11572700296735905
2__aac6__NG_052460.1__72	689	122.0	93.0	0.13497822931785197	0.17706821480406387
2__aac6__NG_052461.1__73	674	139.0	40.0	0.05934718100890208	0.2062314540059347
2__aac6__NG_052428.1__74	674	40.0	20.0	0.02967359050445104	0.05934718100890208
2__aac6__NG_052293.1__75	686	0.0	0.0	0.0	0.0
2__aac6__NG_052532.1__76	683	286.0	138.0	0.2020497803806735	0.41874084919472915
2__aac6__NG_052413.1__77	683	105.0	65.0	0.0951683748169839	0.15373352855051245
2__aac6__NG_052469.1__78	683	38.0	19.0	0.027818448023426062	0.055636896046852125
2__aac6__NG_052425.1__79	683	100.0	79.0	0.11566617862371889	0.14641288433382138
2__aac6__NG_052459.1__80	683	139.0	104.0	0.15226939970717424	0.20351390922401172
2__aac6__NG_052464.1__81	674	38.0	19.0	0.028189910979228485	0.05637982195845697
2__aac6__NG_052206.1__82	674	80.0	40.0	0.05934718100890208	0.11869436201780416
2__aac6__NG_052205.1__83	674	136.0	98.0	0.14540059347181009	0.20178041543026706
2__aac6__NG_052342.1__84	674	83.0	64.0	0.09495548961424333	0.12314540059347182
2__aac6__NG_052139.1__85	698	231.0	146.0	0.20916905444126074	0.330945558739255
2__aac6__NG_052533.1__86	683	297.0	171.0	0.25036603221083453	0.43484626647144947
2__aac6__NG_052157.1__87	683	38.0	19.0	0.027818448023426062	0.055636896046852125
2__aac6__NG_052445.1__88	686	317.0	105.0	0.15306122448979592	0.4620991253644315
2__aac6__NG_052300.1__89	716	405.0	161.0	0.22486033519553073	0.5656424581005587
2__aac6__NG_052301.1__90	755	0.0	0.0	0.0	0.0
2__aac6__NG_052534.1__91	755	108.0	84.0	0.11125827814569536	0.14304635761589404
2__aac6__NG_052200.1__92	632	0.0	0.0	0.0	0.0
2__aac6__NG_052198.1__93	647	0.0	0.0	0.0	0.0
2__aac6__NG_052199.1__94	647	0.0	0.0	0.0	0.0
2__aac6__NG_052201.1__95	641	0.0	0.0	0.0	0.0
2__aac6__NG_052265.1__96	641	0.0	0.0	0.0	0.0
3__blaSPM__NG_050140.1__1	1031	103.0	82.0	0.07953443258971872	0.09990300678952474
4__cat-TC__NG_047562.1__1	917	0.0	0.0	0.0	0.0
5__smr__NG_052366.1__1	518	53.0	53.0	0.10231660231660232	0.10231660231660232
5__smr__NG_052298.1__2	518	0.0	0.0	0.0	0.0
6__aac6-Ighjkrstuvwx__NG_052457.1__1	641	0.0	0.0	0.0	0.0
6__aac6-Ighjkrstuvwx__NG_052458.1__2	641	0.0	0.0	0.0	0.0
6__aac6-Ighjkrstuvwx__NG_052397.1__3	638	0.0	0.0	0.0	0.0
6__aac6-Ighjkrstuvwx__NG_052216.1__4	632	0.0	0.0	0.0	0.0
6__aac6-Ighjkrstuvwx__NG_052398.1__5	638	0.0	0.0	0.0	0.0
6__aac6-Ighjkrstuvwx__NG_052255.1__6	638	0.0	0.0	0.0	0.0
6__aac6-Ighjkrstuvwx__NG_052399.1__7	641	0.0	0.0	0.0	0.0
6__aac6-Ighjkrstuvwx__NG_052401.1__8	641	0.0	0.0	0.0	0.0
6__aac6-Ighjkrstuvwx__NG_052523.1__9	638	0.0	0.0	0.0	0.0
6__aac6-Ighjkrstuvwx__NG_052166.1__10	641	0.0	0.0	0.0	0.0
6__aac6-Ighjkrstuvwx__NG_052396.1__11	641	0.0	0.0	0.0	0.0
6__aac6-Ighjkrstuvwx__NG_052525.1__12	641	0.0	0.0	0.0	0.0
6__aac6-Ighjkrstuvwx__NG_052529.1__13	641	0.0	0.0	0.0	0.0
6__aac6-Ighjkrstuvwx__NG_052394.1__14	638	0.0	0.0	0.0	0.0
6__aac6-Ighjkrstuvwx__NG_052421.1__15	641	0.0	0.0	0.0	0.0
6__aac6-Ighjkrstuvwx__NG_052531.1__16	641	0.0	0.0	0.0	0.0
6__aac6-Ighjkrstuvwx__NG_052527.1__17	641	0.0	0.0	0.0	0.0
6__aac6-Ighjkrstuvwx__NG_052526.1__18	641	0.0	0.0	0.0	0.0
6__aac6-Ighjkrstuvwx__NG_052400.1__19	638	0.0	0.0	0.0	0.0
6__aac6-Ighjkrstuvwx__NG_052528.1__20	641	0.0	0.0	0.0	0.0
6__aac6-Ighjkrstuvwx__NG_052395.1__21	641	0.0	0.0	0.0	0.0
6__aac6-Ighjkrstuvwx__NG_052258.1__22	641	0.0	0.0	0.0	0.0
7__qacJ__NG_048046.1__1	524	0.0	0.0	0.0	0.0
8__qacH__NG_052082.1__1	524	0.0	0.0	0.0	0.0
9__qacL__NG_052256.1__1	539	0.0	0.0	0.0	0.0
9__qacL__NG_048049.1__2	533	0.0	0.0	0.0	0.0
9__qacL__NG_048050.1__3	533	51.0	51.0	0.09568480300187618	0.09568480300187618
9__qacL__NG_048051.1__4	533	57.0	57.0	0.10694183864915573	0.10694183864915573
9__qacL__NG_051854.1__5	533	199.0	59.0	0.11069418386491557	0.37335834896810505
9__qacL__NG_048048.1__6	533	776.0	67.0	0.12570356472795496	1.4559099437148217
10__qacC__NG_048040.1__1	524	0.0	0.0	0.0	0.0
11__qacB__NG_048038.1__1	1673	40.0	20.0	0.011954572624028692	0.023909145248057383
11__qacB__NG_048039.1__2	1673	0.0	0.0	0.0	0.0
12__qacA__NG_048037.1__1	1545	0.0	0.0	0.0	0.0
13__qacG__NG_051904.1__1	523	0.0	0.0	0.0	0.0
14__qacF__NG_051881.1__1	533	0.0	0.0	0.0	0.0
14__qacF__NG_052516.1__2	533	0.0	0.0	0.0	0.0
14__qacF__NG_052350.1__3	533	35.0	35.0	0.06566604127579738	0.06566604127579738
14__qacF__NG_052365.1__4	533	49.0	49.0	0.09193245778611632	0.09193245778611632
14__qacF__NG_052235.1__5	533	0.0	0.0	0.0	0.0
14__qacF__NG_052417.1__6	533	59.0	59.0	0.11069418386491557	0.11069418386491557
14__qacF__NG_052176.1__7	539	0.0	0.0	0.0	0.0
15__qacE__NG_048041.1__1	533	0.0	0.0	0.0	0.0
15__qacE__NG_052493.1__2	533	0.0	0.0	0.0	0.0
16__blaMIR__NG_049294.1__1	1146	0.0	0.0	0.0	0.0
16__blaMIR__NG_049297.1__2	1146	38.0	19.0	0.016579406631762654	0.03315881326352531
16__blaMIR__NG_049298.1__3	1146	0.0	0.0	0.0	0.0
16__blaMIR__NG_049300.1__4	1146	0.0	0.0	0.0	0.0
16__blaMIR__NG_049309.1__5	1146	0.0	0.0	0.0	0.0
16__blaMIR__NG_050721.1__6	1146	0.0	0.0	0.0	0.0
16__blaMIR__NG_050722.1__7	1146	0.0	0.0	0.0	0.0
16__blaMIR__NG_050723.1__8	1146	0.0	0.0	0.0	0.0
16__blaMIR__NG_049295.1__9	1146	0.0	0.0	0.0	0.0
16__blaMIR__NG_049296.1__10	1146	0.0	0.0	0.0	0.0
16__blaMIR__NG_049301.1__11	1146	0.0	0.0	0.0	0.0
16__blaMIR__NG_049304.1__12	1205	0.0	0.0	0.0	0.0
16__blaMIR__NG_049307.1__13	1146	0.0	0.0	0.0	0.0
16__blaMIR__NG_049308.1__14	1346	0.0	0.0	0.0	0.0
16__blaMIR__NG_049303.1__15	1234	0.0	0.0	0.0	0.0
16__blaMIR__NG_049299.1__16	1146	0.0	0.0	0.0	0.0
16__blaMIR__NG_049302.1__17	1146	0.0	0.0	0.0	0.0
16__blaMIR__NG_049305.1__18	1188	40.0	20.0	0.016835016835016835	0.03367003367003367
16__blaMIR__NG_049293.1__19	1346	0.0	0.0	0.0	0.0
16__blaMIR__NG_049306.1__20	1146	0.0	0.0	0.0	0.0
17__ant3-Ia__NG_052304.1__1	992	0.0	0.0	0.0	0.0
17__ant3-Ia__NG_052305.1__2	992	0.0	0.0	0.0	0.0
17__ant3-Ia__NG_052306.1__3	1010	442.0	57.0	0.05643564356435644	0.4376237623762376
17__ant3-Ia__NG_052311.1__4	992	0.0	0.0	0.0	0.0
17__ant3-Ia__NG_052312.1__5	992	0.0	0.0	0.0	0.0
17__ant3-Ia__NG_052313.1__6	992	0.0	0.0	0.0	0.0
18__aac3-VIa__NG_047262.1__1	1100	80.0	40.0	0.03636363636363636	0.07272727272727272
18__aac3-VIa__NG_052583.1__2	1025	76.0	38.0	0.037073170731707315	0.07414634146341463
19__mecA2__NG_047951.1__1	2007	0.0	0.0	0.0	0.0
19__mecA2__NG_047952.1__2	2207	0.0	0.0	0.0	0.0
